Comment,Description,Designator,Footprint,LibRef,Quantity

"CAP 4.7uF 0603 6.3V X7R","Cap Ceramic 4.7uF 6.3V X7R 10% SMD 0603 125°C Paper T/R","C300, C600, C601, C602","FP-CL10-IPC_C","CMP-001-00101-4","4"
"CAP 0.1uF 50V X7R 0603","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R","C301, C400, C401, C405, C407, C605, C900, C901, C902, C920, C921, C924","FP-CL10-IPC_B","CMP-001-00084-7","12"
"CAP 4.7uF 50V X7R 1210","CAP CER 4.7UF 50V X7R 1210","C402, C606, C614","CAPC3225X20N","CMP-001-00083-3","3"
"CAP 1uF 10V X7R 0603","Cap Ceramic 1uF 10V X7R 10% SMD 0603 125C Paper T/R","C403, C406, C922, C923, C925","FP-CL10-IPC_B","CMP-001-00085-7","5"
"CAP 56uF 63V Poly 10mm","Cap Aluminum 56uF 63V 20% (10 X 10.2mm) SMD 0.03 Ohm 1800mA 5000h 105 C Embossed T/R","C500","FP-FKG-MFG","CMP-001-00124-1","1"
"CAP 10uF 1210 63V X7R","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 10uF 63volts *Derate Voltage/Temp","C610","FP-GRM32E-0_2-0_3-MFG","CMP-001-00119-1","1"
"C0603C560J5GACTU","Multilayer Ceramic Capacitor, 56 pF, 50 V, ± 5%, C0G (NP0), 0603 [1608 Metric]","C611","FP-C0603C-CF-IPC_B","CMP-001-00126-1","1"
"CAP 0.47uF 1210 50V X7R","Multilayer Ceramic Capacitor, 0.47 uF, 50 V, ± 10%, X7R, 1210 [3225 Metric]","C612","CAPC1210(3225)230_M","CMP-001-00128-1","1"
"CAP 22uF 25V 1210 X7R","1210 22 uF 25 V ±20% Tolerance X7R Multilayer Ceramic Chip Capacitor","C613","FP-1210-L_3_2_0_3-W_2_5_0-MFG","CMP-001-00125-1","1"
"SS14","","D500, D501, D600, D601","SMA","CMP-080-0002-2","4"
"USBLC6-4SC6","ESD Suppressor 15KV 6-Pin SOT-23 T/R - Product that comes on tape, but is not reeled","D700, D900","FP-SOT23-6L-MFG","CMP-004-00040-1","2"
"OLED_1_3_CARRIERBOARD","Use 4 pin header 0901471104 on board","DISP200","OLED_1_3_CARRIERBOARD-Footprint-1","CMP-00028-00008-2","1"
"M50-3630342R","3 Pos. Male SIL Vertical SMT Conn. RoHS Compliant: Yes","J400","FP-M50-3630342R-MFG","CMP-002-00105-2","1"
"PJ-0XX","2.0 x 6.5 mm, 2.5 A, Horizontal, Through Hole, Dc Power Jack Connector","J500","CUI-PJ-002A_V","CMP-167-0003-2","1"
"43045-0601","Connector Wire to Board Header 6 Position 3 mm Solder Right Angle Thru-Hole Micro-Fit 3.0™","J501, J502","FP-43045-0601-MFG","CMP-002-00095-1","2"
"10155435-00011LF","16 Position 5 A USB Right Angle Receptacle Connector","J700","AMPHENOL_10155435-00011LF","CMP-243-000000-3","1"
"1803277","Pluggable Header 3.81mm 16AWG 160V 8A 2 Position COMBICON MC Series","J800, J801, J802, J803, J900, J901, J902","PHOENIX_1803277","CMP-249-000000-3","7"
"1803280","","J804, J920, J921, J922, J923","PHOENIX_1803280","CMP-251-000000-3","5"
"G6S-2-Y-DC12","Electromechanical Relay 12VDC 720Ohm 2A DPDT (14.8x7.3x9.2)mm THT Signal Relay","K800","FP-G6S-2-Y-DC12-MFG","CMP-008-00007-1","1"
"SRN4018-4R7M","Ind Power Semi-Shielded Wirewound 4.7uH 20% 100KHz Ferrite 1.9A 1515 T/R","L600","FP-SRN4018-MFG","CMP-006-00036-2","1"
"LED_INDICATOR","","LED400, LED401","LED5MM","CMP-130-0003-6","2"
"NFET","","Q400, Q401","SOT23-3","CMP-094-0000-1","2"
"10K 0603 1%","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R400, R401, R402, R404, R405, R408, R409, R410, R900, R902, R904, R922","RESC1608-IPC-ML","CMP-009-00191-4","12"
"120R 1210 5%","SMD Chip Resistor, 120 Ohm, ± 5%, 500 mW, 1210 [3225 Metric], Thick Film, General Purpose","R403","RESC3225X70X50LL20T20","CMP-009-00240-1","1"
"220R 0603 5%","YAGEO - RC0603JR-07220RL - SMD Chip Resistor, 0603 [1608 Metric], 220 ohm, RC Series, 75 V, Thick Film, 100 mW","R406, R407","RESC1608-IPC-ML","CMP-009-00183-3","2"
"100k 0603 1%","Res Thick Film 1.6 x 0.8 mm 100K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R","R600","RESC1608-IPC-LL","CMP-009-00203-1","1"
"22.1k 0603 0.1%","RES SMD 22.1KOHM 0.1% 1/10W 0603","R601","RESC1608-IPC-LL","CMP-009-00207-3","1"
"AC0402FR-075K1L","SMD Chip Resistor, 5.1 kOhm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose","R700, R701","FP-AC0402-IPC_A","CMP-009-00234-1","2"
"1K 0603 1%","Res Thick Film 0603 1K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R","R901, R903, R905, R920, R921, R923, R924, R925, R926, R927","RESC1608-IPC-ML","CMP-009-00193-3","10"
"PTS526SK15SMTR2LFS","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R","RST400","FP-PTS526SK15SMTR2LFS-MFG","CMP-011-00015-1","1"
"RENC_SW","","SW400","EN11-HSB","CMP-066-0000-1","1"
"ADS1115IDGSR","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R","U300","FP-DGS0010A-MFG","CMP-015-00014-1","1"
"ESP32-C3-MINI-1-N4","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.412GHz ~ 2.484GHz PCB Trace Surface Mount","U400","XCVR_ESP32-C3-MINI-1-N4","CMP-206-000000-1","1"
"TCAN1044VDRQ1","R-PDSO-G8 TCAN1044 Tape & Reel (TR) CAN interface transceiver 100mV 4.905mm 5Mbps -40C~125C TA","U401","FP-D0008A-IPC_B","CMP-015-00017-1","1"
"PCA9554APW","I2C/SMBus Interface 100kHz/400kHz 5.5V 16-Pin TSSOP Tube / IC I/O EXPANDER I2C 8B 16TSSOP","U402","PW0016A_L","CMP-015-00016-1","1"
"TPS70950DBVT","IC REG LINEAR 5V 150MA SOT23-5 / 150-mA, 30-V, UltraLow IQ, Low-Dropout Regulators with Enable","U600, U601","FP-DBV0005A-IPC_B","CMP-019-00083-1","2"
"TPS54202DDCR","4.5V to 28V Input, 2A Output, EMI Friendly Synchronous Step-Down Converter 6-SOT-23-THIN -40 to 125","U602","FP-DDC0006A-IPC_C","CMP-019-00081-1","1"
"TBD62783AFG","Power Switch Hi Side 4A 18-Pin SOP","U800","SOIC127P1030X245-18N","CMP-024-00012-1","1"
